"Format","AiM CSV File"
"Session","RIM B"
"Vehicle","RotaxMax2"
"Racer","None"
"Championship",""
"Comment",""
"Date","Sunday, November 9, 2025"
"Time","11:44 AM"
"Sample Rate","20"
"Duration","817.987"
"Segment","Session"
"Beacon Markers","74.796","138.395","199.499","259.205","319.262","378.506","437.769","497.971","557.413","616.334","676.201","735.433","800.672","817.987"
"Segment Times","1:14.796","1:03.599","1:01.104","0:59.706","1:00.057","0:59.244","0:59.263","1:00.202","0:59.442","0:58.921","0:59.867","0:59.232","1:05.239","0:17.315"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","AccelerometerX","AccelerometerY","AccelerometerZ","GyroX","GyroY","GyroZ","MagnetomX","MagnetomY","MagnetomZ","Internal Battery","RPM","Calculated Gear","Distance on GPS Speed"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","g","g","g","deg/s","deg/s","deg/s","mG","mG","mG","V","rpm","#","m"

"2.400","2.4161","16","-0.0001","0.1331","0.2231","131.1212","0.0000","409.9526","5.0000","0.1100","10000.0000","41.56634259","44.94941514","-0.4045","0.0337","-0.9526","17.4555","0.4541","3.0457","-247.4688","341.0500","216.9937","4.0000","5054.7749","0.0000","0.3527"
"2.450","2.5188","16","-0.0009","0.1657","0.1748","134.9125","0.0000","409.9529","5.0000","0.1100","10000.0000","41.56634235","44.94941535","-0.3441","0.0085","-0.9377","14.0781","-0.0780","2.4209","-244.5375","337.9875","218.1313","3.9995","5251.8501","0.0000","0.3870"
"2.500","2.6111","16","-0.0017","0.1911","0.1326","133.1417","0.0000","409.9525","5.0000","0.1100","10000.0000","41.56634211","44.94941570","-0.3867","-0.0122","-0.9204","7.2150","-1.1329","1.2118","-243.3938","331.1375","221.9187","3.9990","5346.0498","0.0000","0.4228"
"2.550","2.8666","16","-0.0095","0.1889","0.0742","127.1753","0.0000","409.9604","5.0000","0.1100","10000.0000","41.56634186","44.94941621","-0.3909","-0.0087","-0.9636","2.3419","-1.7825","-0.0265","-244.0750","328.3375","223.1062","3.9985","5370.0249","0.0000","0.4610"
"2.600","3.2873","16","-0.0042","0.1872","-0.2802","125.1673","0.0000","409.9441","5.0000","0.1100","10000.0000","41.56634157","44.94941674","-0.3879","-0.0134","-0.9038","-0.0650","-2.1646","-0.7376","-247.4250","332.6375","219.2188","3.9980","5333.8999","0.0000","0.5034"
"2.650","3.7380","16","-0.0029","0.1890","-0.6905","128.7622","-2.4098","409.9391","5.0000","0.1100","24.6878","41.56634124","44.94941732","-0.4523","-0.0238","-0.8435","-0.7890","-2.3438","-1.2857","-247.9500","335.9750","216.3875","3.9975","5092.7251","0.0000","0.5528"
"2.700","4.5173","16","-0.0075","0.1935","-0.7001","130.9881","-3.9029","409.9449","5.0000","0.1100","18.4209","41.56634075","44.94941789","-0.5396","-0.0381","-0.8472","-4.5398","-2.3351","-2.3843","-241.6438","336.0125","216.4875","3.9970","4892.9502","0.0000","0.6098"
"2.750","4.8809","16","-0.0031","0.2112","-0.8973","131.6164","-1.4943","409.9356","5.0000","0.1100","51.9841","41.56634025","44.94941859","-0.5564","-0.0025","-0.8848","-12.0441","-1.9115","-4.1446","-239.4125","335.8625","216.5813","3.9965","4733.3252","0.0000","0.6745"
"2.800","5.0084","16","0.0034","0.2058","-0.5426","129.7083","1.4887","409.9375","5.0000","0.1100","53.5453","41.56633982","44.94941925","-0.5356","0.0319","-0.8770","-15.5941","-1.4543","-4.8525","-246.9438","336.9750","214.9125","3.9960","4707.5000","0.0000","0.7429"
"2.850","5.2535","16","0.0104","0.1739","-0.6439","129.3244","4.1461","409.9334","5.0000","0.1100","20.1667","41.56633942","44.94942000","-0.5100","0.0697","-0.8320","-12.0488","-1.3379","-4.1580","-252.9812","338.8125","213.2875","3.9955","4650.1001","0.0000","0.8144"
"2.900","5.2613","16","0.0130","0.1325","-0.5652","129.2347","4.9882","409.9307","5.0000","0.1100","16.7866","41.56633903","44.94942074","-0.4993","0.0729","-0.8262","-4.6771","-0.8549","-2.4194","-255.7125","342.1875","211.6562","3.9950","4688.1250","0.0000","0.8876"
"2.950","5.4426","16","0.0168","0.0997","-0.7014","130.5137","6.1951","409.9261","5.0000","0.1100","13.9823","41.56633852","44.94942139","-0.5244","0.0598","-0.8799","-0.1137","-0.9248","-1.0061","-257.0875","344.3625","210.9875","3.9948","4677.4751","0.0000","0.9621"
"3.000","5.8133","16","0.0038","0.0941","-0.5094","130.5634","1.3820","409.9291","5.0000","0.1100","66.9476","41.56633801","44.94942214","-0.5117","0.0557","-0.9224","0.2642","-0.6817","-0.3088","-259.2125","344.5000","212.1000","3.9945","4921.3252","0.0000","1.0401"
"3.050","6.0107","16","-0.0099","0.1097","-0.8077","129.8384","-3.4027","409.9223","5.0000","0.1100","28.1142","41.56633753","44.94942293","-0.4448","0.0575","-0.9644","0.0465","-0.7652","-0.2545","-259.5500","343.7750","212.3438","3.9943","5104.3501","0.0000","1.1226"
"3.100","6.2912","16","-0.0087","0.1423","-0.7973","130.2092","-2.9077","409.9132","5.0000","0.1100","34.4356","41.56633696","44.94942377","-0.4097","0.0341","-0.9854","1.3369","-1.5278","-0.1893","-255.5875","341.7875","209.8062","3.9940","5154.0752","0.0000","1.2080"
"3.150","6.5799","16","0.0135","0.1755","-0.6181","130.3080","4.3471","409.9173","5.0000","0.1100","24.0905","41.56633642","44.94942470","-0.4296","0.0365","-0.9915","1.9752","-1.3406","-0.3500","-253.1812","340.8625","208.8375","3.9938","5211.3750","0.0000","1.2971"
"3.200","6.7703","16","0.0121","0.2148","-0.6131","130.8159","3.7541","409.9135","5.0000","0.1100","28.7026","41.56633581","44.94942552","-0.4531","0.0446","-0.9443","-0.0969","-0.8803","-1.1518","-255.5562","342.7000","213.2625","3.9935","5187.9502","0.0000","1.3895"
"3.250","7.1763","16","-0.0040","0.2290","-0.6841","129.9605","-1.1223","409.8985","5.0000","0.1100","101.7682","41.56633518","44.94942649","-0.4443","0.0535","-0.8672","-2.7966","-1.2593","-2.2749","-257.6375","344.5875","217.5188","3.9933","5153.4248","0.0000","1.4868"
"3.300","7.7679","16","-0.0218","0.2180","-0.6722","129.7778","-5.9192","409.9014","5.0000","0.1100","20.8866","41.56633450","44.94942754","-0.4255","0.0697","-0.8115","-4.6742","-1.8586","-2.9731","-254.9563","346.4625","218.0125","3.9930","5110.7002","0.0000","1.5907"
"3.350","8.3583","16","-0.0263","0.2189","-0.2990","130.5398","-6.8255","409.9072","5.0000","0.1100","19.4896","41.56633372","44.94942870","-0.4132","0.0865","-0.8184","-5.5070","-1.5601","-3.0237","-251.8562","347.3875","217.3313","3.9928","5064.7500","0.0000","1.7022"
"3.400","8.6013","16","-0.0231","0.2015","-0.3035","129.9767","-5.7364","409.9038","5.0000","0.1100","23.8640","41.56633300","44.94942979","-0.4321","0.0823","-0.8774","-3.9921","-1.2404","-2.4854","-250.0312","346.0375","216.2750","3.9925","5106.8501","0.0000","1.8196"
