index,lat,lon,unk_u16,speed_raw
251,41.566566,44.950286,800,100
252,41.566582,44.950301,800,100
253,41.566599,44.950313,800,100
254,41.566616,44.950321,800,100
255,41.566635,44.950327,800,100
256,41.566654,44.95033,800,100
257,41.566672,44.950329,800,100
258,41.566691,44.950326,800,100
259,41.566709,44.95032,800,100
260,41.566727,44.950309,800,100
261,41.566743,44.950297,800,100
262,41.566758,44.950282,800,100
263,41.566772,44.950265,800,100
264,41.566785,44.950247,800,100
265,41.566797,44.950227,800,100
266,41.566808,44.950207,800,100
267,41.566818,44.950185,800,100
268,41.566828,44.950164,800,100
269,41.566838,44.950142,800,100
270,41.566847,44.95012,800,100
271,41.566856,44.950098,800,100
272,41.566866,44.950077,800,100
273,41.566876,44.950055,800,100
274,41.566886,44.950034,800,100
275,41.566896,44.950012,800,100
276,41.566906,44.949991,800,100
277,41.566917,44.94997,800,100
278,41.566927,44.949949,800,100
279,41.566939,44.949929,800,100
280,41.56695,44.949909,800,100
281,41.566962,44.94989,800,100
282,41.566975,44.949871,800,100
283,41.566988,44.949853,800,100
284,41.567001,44.949835,800,100
285,41.567015,44.949817,800,100
286,41.567028,44.9498,800,100
287,41.567042,44.949783,800,100
288,41.567057,44.949766,800,100
289,41.567071,44.949749,800,100
290,41.567085,44.949733,800,100
291,41.567099,44.949716,800,100
292,41.567112,44.949698,800,100
293,41.567125,44.949679,800,100
294,41.567137,44.94966,800,100
295,41.567148,44.94964,800,100
296,41.567159,44.949619,800,100
297,41.567169,44.949597,800,100
298,41.567178,44.949575,800,100
299,41.567186,44.949552,800,100
300,41.567193,44.949529,800,100
301,41.567199,44.949505,800,100
302,41.567203,44.94948,800,100
303,41.567205,44.949455,800,100
304,41.567207,44.94943,800,100
305,41.567208,44.949405,800,100
306,41.567209,44.94938,800,100
307,41.567211,44.949355,800,100
308,41.567213,44.94933,800,100
309,41.567217,44.949305,800,100
310,41.567222,44.949281,800,100
311,41.567228,44.949257,800,100
312,41.567235,44.949234,800,100
313,41.567244,44.949211,800,100
314,41.567252,44.949189,800,100
315,41.567262,44.949167,800,100
316,41.567272,44.949146,800,100
317,41.567283,44.949126,800,100
318,41.567296,44.949107,800,100
319,41.567309,44.949088,800,100
320,41.567323,44.949072,800,100
321,41.567338,44.949057,800,100
322,41.567354,44.949042,800,100
323,41.567369,44.949028,800,100
324,41.567386,44.949015,800,100
325,41.567402,44.949003,800,100
326,41.567419,44.948991,800,100
327,41.567436,44.94898,800,100
328,41.567453,44.948969,800,100
329,41.56747,44.948959,800,100
330,41.567488,44.94895,800,100
331,41.567505,44.948941,800,100
332,41.567523,44.948932,800,100
333,41.567541,44.948923,800,100
334,41.567559,44.948914,800,100
335,41.567576,44.948905,800,100
336,41.567594,44.948897,800,100
337,41.567612,44.948888,800,100
338,41.56763,44.94888,800,100
339,41.567648,44.948872,800,100
340,41.567666,44.948863,800,100
341,41.567683,44.948855,800,100
342,41.567701,44.948847,800,100
343,41.567719,44.948839,800,100
344,41.567737,44.948831,800,100
345,41.567755,44.948823,800,100
346,41.567773,44.948814,800,100
347,41.567791,44.948806,800,100
348,41.567809,44.948798,800,100
349,41.567827,44.94879,800,100
350,41.567845,44.948782,800,100
351,41.567862,44.948774,800,100
352,41.56788,44.948765,800,100
353,41.567898,44.948757,800,100
354,41.567916,44.948749,800,100
355,41.567934,44.948741,800,100
356,41.567952,44.948732,800,100
357,41.56797,44.948724,800,100
358,41.567988,44.948715,800,100
359,41.568005,44.948707,800,100
360,41.568023,44.948698,800,100
361,41.568041,44.948689,800,100
362,41.568058,44.94868,800,100
363,41.568076,44.94867,800,100
364,41.568093,44.948659,800,100
365,41.56811,44.948647,800,100
366,41.568126,44.948635,800,100
367,41.568142,44.948621,800,100
368,41.568157,44.948607,800,100
369,41.568172,44.948591,800,100
370,41.568186,44.948573,800,100
371,41.568199,44.948555,800,100
372,41.568211,44.948536,800,100
373,41.568222,44.948515,800,100
374,41.568232,44.948494,800,100
375,41.568241,44.948472,800,100
376,41.568247,44.948448,800,100
377,41.568252,44.948424,800,100
378,41.568255,44.948399,800,100
379,41.568256,44.948374,800,100
380,41.568258,44.948349,800,100
381,41.568258,44.948323,800,100
382,41.568256,44.948298,800,100
383,41.568253,44.948273,800,100
384,41.568249,44.948249,800,100
385,41.568245,44.948224,800,100
386,41.568241,44.9482,800,100
387,41.568236,44.948175,800,100
388,41.568231,44.948151,800,100
389,41.568224,44.948127,800,100
390,41.568218,44.948104,800,100
391,41.56821,44.948081,800,100
392,41.568203,44.948058,800,100
393,41.568194,44.948035,800,100
394,41.568184,44.948013,800,100
395,41.568174,44.947992,800,100
396,41.568163,44.947971,800,100
397,41.568152,44.947951,800,100
398,41.56814,44.947932,800,100
399,41.568126,44.947914,800,100
400,41.568112,44.947897,800,100
401,41.568098,44.947881,800,100
402,41.568082,44.947867,800,100
403,41.568066,44.947854,800,100
404,41.568049,44.947843,800,100
405,41.568032,44.947833,800,100
406,41.568014,44.947826,800,100
407,41.567995,44.94782,800,100
408,41.567977,44.947816,800,100
409,41.567958,44.947813,800,100
410,41.567939,44.947812,800,100
411,41.56792,44.947811,800,100
412,41.567901,44.94781,800,100
413,41.567882,44.94781,800,100
414,41.567863,44.947811,800,100
415,41.567844,44.947813,800,100
416,41.567825,44.947815,800,100
417,41.567807,44.947818,800,100
